YearStart	YearEnd	Chair	Secretary	Treasurer	Other1	Other2	Other3	Other4	Other5	Other6	Other7
1942	1943	John L Lewis (Pembroke)	A. Blakey (Newnham)	P.V. Fitton (Sidney)	C. Billington (Caius)	P.A.R. Brown (King's)	P. Eastwood (Clare)	L.H. Farnsworth (Downing)	H.S. Rendle (St Catherine's)		
1943	1944	John L Lewis (Pembroke)	A. Blakey (Newnham)	H.S. Rendle (St Catharine's)	C. Billington (Caius)	S. Harvey (Newnham)	L.H. Long (Dr.) (Emma)	J.G.D. Pratt (Trinity)	E.F. Rogers (Sidney)		
1944	1945	J.G.D. Pratt (Trinity)	J.A. Bancroft-Wilson (Sidney)	E.L. Campbell (Pembroke)	J.S. Cushen (Girton)	T.N. Dewey (Pembroke)	K.G. Eckhoff (SIdney)	John L Lewis (Pembroke)	L.H. Long (Dr.) (Emma)		
1945	1946	A.J. Oldham (Clare)	J.S. Cushen (Girton)	T.N. Dewey (Pembroke)	K.G. Eckhoff (Sidney)	David W. Dewhirst (Christ's)	John L Lewis (Pembroke)	L.H. Long (Dr.) (Emma)	C.J. Pepper (Trinity)		
1946	1947	David W. Dewhirst (Christ's)	J.S. Cushen (Girton)	T.N. Dewey (Pembroke)	C.J. Pepper (Trinity)	John L Lewis (Pembroke)	A.J. Oldham (Clare)	A.B. Partridge (Peterhouse)	G.C. Shephard (Queens')		
1947	1948	G.C. Shephard (Queens')	E. Schaefer (Girton)	I.E. Bush (Pembroke)	John L Lewis (Pembroke)	D.S. Brown (Queens')	W.T.W. Potts (St Catharine's)				
1948	1949	S.G. Brewer (Christ's)	J.A. Bancroft-Wilson (Sidney)	W.T.W. Potts (St Catharine's)	J.G.D. Pratt (Trinity)	I.E. Bush (Pembroke)	David W. Dewhirst (Christ's)	John L Lewis (Pembroke)	E. Schaefer (Girton)	G.C. Shephard (Queens')	
1949	1950	G. Lindsay Jones (King's)	J.C. Harrison (Clare)	E. Waring (Sidney)	W.T.W. Potts (St Catharine's)	J.O.C. Alleyne (Jesus)	J.G.D. Pratt (Trinity)	P.A. Wayman (Emma)			
1950	1951	J.O.C. Alleyne (Jesus)	P.C. Price (Trinity)	E. Waring (Sidney)	W.T.W. Potts (St Catharine's)	P.N. Goode (Caius)					
1951	1952	P.C. Price (Trinity)									
1952	1953	P.C. Barrington (Clare)	T.C. Clark (St John's)	P.J. Message (Caius)	Dennis J.H. Wort (St John's) 	M.G. Rusbridge (Trinity Hall)	P.C. Price (Trinity)	E. Waring (Sidney)			
1953	1954	Dennis J.H. Wort (St John's)	Roderick V. Willstrop (Emma)	P.J. Message (Caius)	M.G. Rusbridge (Trinity Hall)	A.G. Hearn (St Catharine's)	R.J. Morton (Girton)	R.A. James (Downing)	G.C. Sudbury (Christ's)	P.H. Vince (Pembroke)	
1954	1955	Roderick V. Willstrop (Emma)	G.C. Sudbury (Christ's)	P.H. Vince (Pembroke)	A.G. Hearn (St Catharine's)	R.A. James (Downing)	P.J. Message (Caius)	R.J. Morton (Girton)	M.G. Rusbridge (Trinity Hall)	Dennis J.H. Wort (St John's)	
1955	1956	G.C. Sudbury (Christ's)	Michael F. Ingham (King's)	P.H. Vince (Pembroke)	R.A. James (Downing)	Roger F. Griffin (St John's)	A.G. Hearn (St Catharine's)	J. Timbergen (Jesus)	Roderick V. Willstrop (Emma)	D.G. Gibson (Trinity)	
